player,pid,start,step,end,kill,completed,winner
A,A4,-1,1,0,,,
B,B5,-1,2,1,,,
A,A6,-1,2,1,,,
B,B6,-1,1,0,,,
A,A6,1,4,5,,,
B,B5,1,1,2,,,
A,A6,5,1,6,,,
B,B5,2,3,5,,,
A,A3,-1,3,2,,,
B,B5,5,1,6,A6,,
A,A3,2,1,3,,,
A,A3,3,1,4,,,
B,B5,6,1,7,,,
B,B3,-1,4,3,,,
B,B0,-1,3,2,,,
B,B6,0,4,4,A3,,
A,A2,-1,2,1,,,
B,B3,3,2,5,,,
B,B5,7,3,10,,,
A,A4,0,3,3,,,
B,B6,4,3,7,,,
B,B5,10,3,13,,,
A,A4,3,2,5,B3,,
B,B0,2,3,5,A4,,
B,B2,-1,1,0,,,
A,A3,-1,4,3,,,
A,A3,3,2,5,B0,,
B,B5,13,1,14,,B5,
B,B2,0,2,2,,,
A,A3,5,3,8,,,
B,B6,7,3,10,,,
A,A0,-1,3,2,,,
A,A4,-1,1,0,,,
B,B4,-1,2,1,,,
A,A3,8,2,10,B6,,
B,B4,1,3,4,,,
A,A6,-1,4,3,,,
B,B4,4,3,7,,,
A,A0,2,2,4,,,
A,A6,3,2,5,,,
A,A0,4,4,8,,,
B,B4,7,4,11,,,
A,A3,10,1,11,B4,,
B,B2,2,1,3,,,
B,B4,-1,3,2,,,
B,B4,2,4,6,,,
A,A1,-1,3,2,,,
B,B1,-1,1,0,,,
A,A0,8,4,12,,,
A,A6,5,4,9,,,
B,B6,-1,2,1,,,
B,B6,1,1,2,,,
A,A4,0,3,3,,,
A,A4,3,1,4,,,
B,B2,3,1,4,A4,,
A,A2,1,3,4,B2,,
B,B4,6,2,8,,,
A,A4,-1,2,1,,,
B,B0,-1,2,1,,,
A,A0,12,1,13,,,
B,B6,2,1,3,,,
B,B6,3,1,4,A2,,
B,B2,-1,3,2,,,
A,A4,1,4,5,,,
B,B4,8,2,10,,,
A,A6,9,4,9,,,
B,B6,4,2,6,,,
A,A3,11,1,12,,,
A,A0,13,1,14,,A0,
B,B4,10,3,13,,,
B,B0,1,4,5,A4,,
A,A1,2,3,5,B0,,
B,B2,2,3,5,A1,,
A,A2,-1,2,1,,,
B,B1,0,2,2,,,
A,A3,12,2,14,,A3,
B,B2,5,2,7,,,
A,A2,1,4,5,,,
B,B2,7,2,9,A6,,
A,A2,5,4,9,B2,,
A,A4,-1,2,1,,,
B,B3,-1,2,1,,,
A,A4,1,2,3,,,
B,B3,1,3,4,,,
A,A6,-1,2,1,,,
B,B2,-1,2,1,,,
A,A1,-1,1,0,,,
B,B3,4,1,5,,,
A,A1,0,4,4,,,
B,B2,1,3,4,A1,,
A,A5,-1,3,2,,,
B,B0,-1,1,0,,,
A,A6,1,3,4,B2,,
B,B1,2,1,3,,,
B,B3,5,3,8,,,
A,A5,2,3,5,,,
B,B1,3,1,4,A6,,
A,A2,9,2,11,,,
B,B1,4,1,5,A5,,
A,A2,11,1,12,,,
A,A4,3,4,7,,,
A,A5,-1,3,2,,,
A,A5,2,2,4,,,
B,B6,6,1,6,,,
A,A4,7,1,8,B3,,
B,B2,-1,2,1,,,
A,A4,8,1,9,,,
A,A4,9,3,9,,,
B,B2,1,1,2,,,
A,A6,-1,1,0,,,
A,A5,4,3,7,,,
A,A6,0,4,4,,,
B,B3,-1,4,3,,,
B,B2,2,2,4,A6,,
A,A5,7,3,10,,,
B,B4,13,1,14,,B4,
A,A1,-1,2,1,,,
B,B2,4,4,8,,,
A,A1,1,2,3,,,
A,A1,3,4,7,,,
A,A5,10,4,14,,A5,
B,B2,8,4,12,,,
B,B0,0,1,1,,,
A,A6,-1,2,1,,,
A,A4,9,1,10,,,
B,B2,12,2,14,,B2,
A,A4,10,4,14,,A4,
B,B6,6,3,9,,,
B,B6,9,4,13,,,
A,A1,7,1,8,,,
B,B6,13,1,14,,B6,
A,A2,12,2,14,,A2,
A,A6,1,1,2,,,
B,B1,5,3,8,A1,,
A,A1,-1,4,3,,,
A,A6,2,2,4,,,
A,A6,4,1,5,,,
B,B1,8,2,10,,,
A,A1,3,3,6,,,
B,B3,3,3,6,A1,,
A,A6,5,2,7,,,
A,A6,7,1,8,,,
B,B0,1,1,2,,,
A,A6,8,3,11,,,
B,B3,6,3,9,,,
A,A6,11,3,14,,A6,
B,B0,2,4,6,,,
A,A1,-1,4,3,,,
A,A1,3,1,4,,,
A,A1,4,1,5,,,
B,B1,10,3,13,,,
A,A1,5,3,8,,,
B,B3,9,3,12,,,
B,B1,13,1,14,,B1,
B,B0,6,2,8,A1,,
B,B3,12,2,14,,B3,
A,A1,-1,4,3,,,
A,A1,3,2,5,,,
B,B0,8,4,12,,,
A,A1,5,2,7,,,
A,A1,7,4,11,,,
A,A1,11,2,13,,,
B,B0,12,2,14,,B0,B
